nominal_gpu_h,envelope_gpu_h,productive_gpu_h,stranded_gpu_h,stranded_idle_gpu_h,stranded_reservation_gpu_h,stranded_train_overhead_gpu_h,capacity_realization,slo_attainment,train_ettr,jobs_submitted,jobs_completed,preemptions,emergency_kills,resizes,work_lost_gpu_h,mean_wait_h,policy,seed,scenario
737280.0,737280.0,563356.8,173923.2,72331.0,70560.0,31032.2,0.7641,1.0,0.921,2316,2277,0,0,0,0.0,1.62,rigid-fifo,42,S1-steady
737280.0,737280.0,569381.0,167899.0,65828.5,70560.0,31510.5,0.7723,1.0,0.9211,2304,2280,0,0,0,0.0,2.05,rigid-fifo,43,S1-steady
737280.0,737280.0,582887.2,154392.8,51198.4,70560.0,32634.3,0.7906,1.0,0.9212,2364,2334,0,0,0,0.0,1.98,rigid-fifo,44,S1-steady
737280.0,737280.0,563356.8,173923.2,72331.0,70560.0,31032.2,0.7641,1.0,0.921,2316,2277,0,0,0,0.0,1.62,tiered-preemption,42,S1-steady
737280.0,737280.0,569381.0,167899.0,65828.5,70560.0,31510.5,0.7723,1.0,0.9211,2304,2280,0,0,0,0.0,2.05,tiered-preemption,43,S1-steady
737280.0,737280.0,582887.2,154392.8,51198.4,70560.0,32634.3,0.7906,1.0,0.9212,2364,2334,0,0,0,0.0,1.98,tiered-preemption,44,S1-steady
737280.0,737280.0,652383.1,84896.9,20631.8,20505.0,43760.1,0.8849,1.0,0.9115,2316,2270,108,0,1111,0.0,1.4,intent-closed-loop,42,S1-steady
737280.0,737280.0,611913.2,125366.8,61828.3,20505.0,43033.5,0.83,1.0,0.9051,2304,2277,79,0,957,0.0,1.16,intent-closed-loop,43,S1-steady
737280.0,737280.0,640897.8,96382.2,34892.8,20505.0,40984.4,0.8693,1.0,0.9147,2364,2325,331,0,951,0.0,2.61,intent-closed-loop,44,S1-steady
737280.0,706560.0,546753.0,159807.0,55521.3,70560.0,33725.7,0.7738,1.0,0.911,2316,2275,0,320,0,3487.6,1.88,rigid-fifo,42,S2-power
737280.0,706560.0,547723.7,158836.3,54475.7,70560.0,33800.7,0.7752,1.0,0.911,2304,2272,0,348,0,3563.7,3.07,rigid-fifo,43,S2-power
737280.0,706560.0,560402.3,146157.7,40674.1,70560.0,34923.6,0.7931,1.0,0.9113,2364,2327,0,372,0,3532.3,2.68,rigid-fifo,44,S2-power
737280.0,706560.0,552249.4,154310.6,53340.8,70560.0,30409.8,0.7816,1.0,0.9202,2316,2273,270,0,0,0.0,1.89,tiered-preemption,42,S2-power
737280.0,706560.0,550847.0,155713.0,54924.3,70560.0,30228.7,0.7796,1.0,0.9203,2304,2278,259,0,0,0.0,2.84,tiered-preemption,43,S2-power
737280.0,706560.0,568673.0,137887.0,35547.4,70560.0,31779.6,0.8048,1.0,0.9203,2364,2327,305,0,0,0.0,3.82,tiered-preemption,44,S2-power
737280.0,706560.0,618754.6,87805.4,16951.3,20505.0,50349.1,0.8757,1.0,0.8923,2316,2251,406,0,1360,0.0,3.33,intent-closed-loop,42,S2-power
737280.0,706560.0,585051.8,121508.2,57554.3,20505.0,43448.9,0.828,1.0,0.8982,2304,2267,261,0,1098,0.0,1.96,intent-closed-loop,43,S2-power
737280.0,706560.0,611434.7,95125.3,30275.3,20505.0,44345.0,0.8654,1.0,0.9024,2364,2315,513,0,1264,0.0,8.23,intent-closed-loop,44,S2-power
737280.0,736416.0,557538.3,178877.8,75530.0,70560.0,32787.7,0.7571,1.0,0.9157,2316,2269,0,27,0,1967.4,1.43,rigid-fifo,42,S3-failures
737280.0,736448.0,562114.3,174333.7,70942.2,70560.0,32831.5,0.7633,1.0,0.9165,2304,2278,0,26,0,1668.7,0.92,rigid-fifo,43,S3-failures
737280.0,736480.0,573532.6,162947.4,59120.4,70560.0,33267.0,0.7787,1.0,0.9179,2364,2333,0,25,0,1149.3,1.38,rigid-fifo,44,S3-failures
737280.0,736416.0,557538.3,178877.8,75530.0,70560.0,32787.7,0.7571,1.0,0.9157,2316,2269,0,27,0,1967.4,1.43,tiered-preemption,42,S3-failures
737280.0,736448.0,562114.3,174333.7,70942.2,70560.0,32831.5,0.7633,1.0,0.9165,2304,2278,0,26,0,1668.7,0.92,tiered-preemption,43,S3-failures
737280.0,736480.0,573532.6,162947.4,59120.4,70560.0,33267.0,0.7787,1.0,0.9179,2364,2333,0,25,0,1149.3,1.38,tiered-preemption,44,S3-failures
737280.0,736416.0,647303.5,89112.5,22340.5,20505.0,46267.0,0.879,1.0,0.906,2316,2279,46,27,1179,1303.3,1.08,intent-closed-loop,42,S3-failures
737280.0,736448.0,609272.8,127175.2,62451.3,20505.0,44218.9,0.8273,1.0,0.9021,2304,2278,40,26,947,1271.7,1.09,intent-closed-loop,43,S3-failures
737280.0,736480.0,637342.1,99137.9,36452.7,20505.0,42180.2,0.8654,1.0,0.9117,2364,2327,126,25,1017,659.0,1.21,intent-closed-loop,44,S3-failures
737280.0,705688.0,549896.7,155791.3,53912.7,66929.8,34948.8,0.7792,0.9675,0.9079,2316,2270,0,346,0,4509.9,1.44,rigid-fifo,42,S4-full
737280.0,705910.7,549704.7,156206.0,53998.6,67558.3,34649.1,0.7787,0.959,0.9088,2304,2268,0,359,0,4316.9,2.74,rigid-fifo,43,S4-full
737280.0,705905.3,548547.3,157358.0,54088.8,67759.9,35509.2,0.7771,0.9765,0.9065,2364,2329,0,372,0,5059.5,1.77,rigid-fifo,44,S4-full
737280.0,705688.0,550593.3,155094.7,56539.4,66929.8,31625.5,0.7802,0.9675,0.9161,2316,2271,231,32,0,1435.7,1.33,tiered-preemption,42,S4-full
737280.0,705910.7,547341.3,158569.3,59783.6,67558.3,31227.4,0.7754,0.959,0.9165,2304,2273,286,25,0,1372.0,2.53,tiered-preemption,43,S4-full
737280.0,705905.3,551892.7,154012.7,54557.1,67759.9,31695.7,0.7818,0.9765,0.9164,2364,2333,273,27,0,1381.2,1.43,tiered-preemption,44,S4-full
737280.0,705688.0,620268.3,85419.7,16183.3,21217.7,48018.7,0.879,0.9977,0.896,2316,2225,637,32,1407,1560.7,6.31,intent-closed-loop,42,S4-full
737280.0,705910.7,586074.1,119836.6,55595.3,21183.1,43058.2,0.8302,0.9977,0.8981,2304,2268,298,25,1072,629.8,1.98,intent-closed-loop,43,S4-full
737280.0,705905.3,610099.1,95806.3,29724.6,21060.2,45021.5,0.8643,0.9985,0.8999,2364,2313,379,27,1218,740.2,2.96,intent-closed-loop,44,S4-full
